vessel,datetime,lat,long,heading,speed,draft
86,2019-12-27 21:43:00,12.65235,101.15375,224.0,0.0,11.6
87,2019-12-18 21:48:00,38.754118,117.715083,89.0,0.1,11.2
88,2019-12-30 21:58:00,35.215802,120.195172,300.0,7.4,11.3
89,2019-12-21 21:48:00,21.227718,109.45542,28.0,7.5,11.4
90,2019-12-24 21:51:00,22.780348,59.509822,215.0,9.4,10.1
91,2019-12-24 21:56:00,1.2335,103.671285,276.0,0.1,11.1
92,2019-12-26 21:20:00,-2.397782,129.685047,288.0,9.0,9.5
93,2019-12-21 21:48:00,51.03499,1.747337,80.0,4.6,11.2
94,2019-12-25 23:19:00,43.211327,141.292695,227.0,0.0,11.1
95,2019-12-29 21:47:00,21.279688,109.476298,39.0,4.5,11.8
96,2019-12-31 22:24:00,33.41833,124.99833,347.0,11.0,11.6
97,2019-12-26 21:55:00,36.989805,126.155402,64.0,10.7,11.4
98,2019-11-28 19:58:00,22.81209,120.200713,350.0,0.4,11.4
99,2019-12-24 21:54:00,35.461095,139.718538,40.0,0.0,11.5
100,2019-12-23 21:57:00,33.276117,131.712183,305.0,0.0,11.4
101,2019-12-19 21:55:00,35.469912,139.738725,39.0,0.1,11.2
102,2019-12-22 21:51:00,37.337522,126.584527,269.0,0.0,11.7
103,2019-12-01 21:49:00,30.040098,-93.333402,54.0,0.0,9.8
104,2019-12-22 21:51:00,35.469802,139.73883,39.0,0.1,11.4
105,2019-12-18 21:51:00,-20.591,116.762667,345.0,0.1,9.3
106,2019-12-31 21:55:00,-20.81843,115.491293,244.0,1.1,9.9
107,2019-12-21 21:46:00,-20.604772,116.75509,320.0,0.0,9.5
108,2019-12-22 21:51:00,-21.676417,115.007117,331.0,0.2,9.2
109,2019-12-28 21:48:00,35.45845,139.736017,359.0,3.9,11.0
110,2019-12-15 23:42:00,38.75397,117.715037,90.0,0.0,11.5
111,2019-12-10 21:46:00,30.57793,122.136338,293.0,9.3,11.6
112,2019-12-16 21:52:00,-20.332218,116.48724,252.0,0.0,9.5
113,2019-12-22 21:51:00,-18.922707,117.587828,207.0,13.2,9.8
114,2019-12-15 21:37:00,-20.813183,115.493263,181.0,0.0,9.6
115,2019-12-27 21:48:00,-20.566558,115.917838,218.0,11.7,9.2
116,2019-12-21 21:48:00,35.305483,119.997867,310.0,2.7,11.3
117,2019-12-23 21:59:00,37.06477,126.311267,51.0,9.6,11.7
118,2019-12-29 21:47:00,-10.94872,129.198222,144.0,14.7,10.5
119,2019-12-27 21:31:00,36.792473,126.016342,29.0,9.3,11.6
120,2019-12-23 21:56:00,35.346317,139.820817,165.0,0.0,11.7
121,2019-12-31 21:54:00,-20.217115,117.000178,245.0,5.2,9.7
122,2019-12-25 21:52:00,-12.219348,130.628487,42.0,0.1,9.9
123,2019-12-25 21:50:00,33.9481,132.130917,28.0,0.0,11.2
124,2019-12-24 21:56:00,-20.571723,116.748412,133.0,5.7,9.7
125,2019-08-04 23:52:00,34.763743,134.689652,14.0,0.0,11.0
126,2019-12-30 21:56:00,-20.586962,116.76389,329.0,0.0,9.2
127,2019-10-03 23:56:00,22.57472,114.431978,158.0,0.0,11.7
128,2019-12-19 21:54:00,-20.508483,116.746417,50.0,0.0,9.3
129,2019-12-23 21:59:00,-20.590967,116.762583,346.0,0.0,9.1
130,2019-12-18 21:49:00,-10.744063,148.790663,293.0,12.4,9.8
131,2019-12-23 23:31:00,38.927772,117.876297,108.0,0.0,11.2
132,2019-12-25 21:54:00,-20.303617,116.437317,238.0,4.9,9.7
133,2019-12-27 21:48:00,-9.360485,128.132275,149.0,17.2,10.0
135,2019-12-27 21:49:00,35.345183,139.744233,19.0,9.0,10.9
136,2019-12-25 21:54:00,35.464093,139.737002,28.0,3.1,11.4
137,2019-12-25 21:49:00,-11.005817,148.01905,322.0,12.7,9.2
138,2019-12-22 21:51:00,22.77478,59.558372,238.0,11.3,10.0
139,2019-12-23 21:58:00,-5.578117,107.206533,269.0,13.5,11.0
140,2019-12-12 21:54:00,38.002682,139.230372,235.0,0.1,11.1
141,2019-12-21 21:47:00,-1.0477,123.4434,248.0,13.9,9.4
142,2019-12-28 21:33:00,-1.046185,123.091245,69.0,10.9,9.2
143,2019-12-11 23:31:00,34.565773,135.404088,65.0,0.0,11.3
144,2019-12-18 21:35:00,-5.975277,106.79875,359.0,0.0,10.8
145,2019-12-28 21:45:00,-2.234778,128.49539,104.0,18.8,9.4
146,2019-12-30 22:24:00,34.883123,127.791823,9.0,0.0,11.199
147,2019-12-24 21:57:00,34.552538,135.413903,130.0,0.0,11.4
148,2019-12-26 21:52:00,38.75403,117.714975,90.0,0.0,11.4
149,2019-10-30 23:58:00,9.758068,75.931633,205.0,7.9,11.4
150,2019-12-30 23:19:00,37.012732,126.1294,342.0,0.0,11.4
151,2019-12-31 21:43:00,22.597598,60.271062,311.0,18.0,10.0
152,2019-12-18 21:50:00,21.060978,72.576247,50.0,5.7,11.3
153,2019-12-25 21:20:00,22.68486,60.388935,249.0,17.8,9.0
154,2019-12-29 21:01:00,5.325307,114.461425,134.0,5.5,9.4
155,2019-12-27 21:49:00,36.43326,140.854302,89.0,13.2,10.9
156,2019-12-28 21:48:00,35.474342,139.969792,145.0,0.0,11.2
157,2019-12-24 22:50:00,3.68155,112.846417,172.0,13.0,9.5
158,2019-12-31 21:55:00,37.33324,126.577055,77.0,4.5,11.0
159,2019-12-29 21:45:00,3.40437,112.912005,67.0,0.0,9.3
160,2019-12-26 23:38:00,30.600388,122.104493,289.0,0.5,11.9
161,2019-12-16 23:55:00,17.847503,-103.542992,300.0,14.0,10.8
162,2019-12-25 21:54:00,3.319167,112.88541,159.0,5.2,9.5
163,2019-12-27 21:49:00,3.264538,113.063495,230.0,0.0,9.6
164,2019-12-28 21:43:00,3.35635,112.879095,180.0,11.5,9.4
165,2019-12-23 21:40:00,36.726475,-75.512652,314.0,11.7,9.3
166,2019-12-29 21:47:00,29.417108,-93.629368,324.0,0.0,9.3
167,2019-12-28 21:15:00,37.33752,126.582625,91.0,0.0,11.2
168,2019-12-28 21:48:00,34.597315,135.06987,295.0,12.2,11.6
170,2019-12-23 21:43:00,38.754097,117.71514,90.0,0.1,11.2
171,2019-12-30 23:21:00,46.61962,142.899167,181.0,0.2,9.4
172,2019-12-28 21:14:00,38.002583,139.230567,235.0,0.0,11.4
174,2019-06-03 19:37:00,34.917393,128.592065,6.0,2.4,5.7
175,2019-12-28 21:47:00,51.016325,1.750435,226.0,0.0,10.8
176,2019-12-23 21:56:00,51.889737,1.673683,194.0,0.0,10.9
